Полный путь;Главный раздел;Раздел 1;Раздел 2;Раздел 3;Наименование;ID;Коллекция;Стиль;Высота;Масса;Материал арматуры;Пылевлагозащита;Диаметр; Количество ламп; Цвет арматуры;Цвет плафона (Декора);Мощность лампы (Max);Цоколь ламп;Общее описание;URL
"Главная; Светотехника; Люстры; Люстра потолочная Nubi ondoso 802071";Главная; Светотехника; Люстры;None; Люстра потолочная Nubi ondoso 802071;802071;Nubi ondoso;Арт-деко; мм230;кг9,05;Металл;IPIP20;мм550; шт7;Матовый хром;Белая волна;Вт40;E27;"КоллекцияNubi ondoso; СтильАрт-деко; Пылевлагозащита, IPIP20; Высота, мм230; Диаметр, мм550; Масса, кг9,05; Количество ламп, шт7; Цвет арматурыМатовый хром; Цвет плафона (Декора)Белая волна; Мощность лампы (Max), Вт40; Цоколь лампE27; Артикул802071; КоллекцияNubi ondoso; СтильАрт-деко; Зона размещенияЖилая / Общественная; Тип люстрыПотолочная; Количество плафонов (декор элем встройки), шт (если 0 - нет)7; Коэфф пропускания плафоном света, 0-10,7; Пылевлагозащита, IPIP20; Суммарная мощность LED, Вт42; Суммарная мощность ЛОН, Вт280; Масса, кг9,05; Тип крепления плафона, На арматуру / На лампуНа арматуру; Крепление, На планку / На крюк / ПружинноеКрестовина; Монтаж, Врезной / НакладнойНакладной; Диаметр, мм550; Высота, мм230; Диаметр основания (отверстия встройки), мм450; Глубина (высота) основания (отверстия встройки), мм20; Цвет арматурыМатовый хром; Цвет плафона (Декора)Белая волна; Материал арматурыМеталл; Материал плафона (Декора)Стекло; Количество ламп, шт7; Цоколь лампE27; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыГЛН / КЛЛ / LED; Типоразмер лампыC / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-lustru-optom/802071
"Главная; Светотехника; Лента светодиодная на 12В, профиль, трансформаторы и аксессуары; Светодиодная лента в PVC профиле с прямоугольным рассеивателем  409112";Главная; Светотехника; Лента светодиодная на 12В, профиль, трансформаторы и аксессуары;None; Светодиодная лента в PVC профиле с прямоугольным рассеивателем  409112;409112;None;None; мм14;кг0,046;Пластик;Пылевлагозащита, IPIP20;None;None;None;None;None;None;"Пылевлагозащита, IPIP20; Высота, мм14; Масса, кг0,046; Количество в упаковке100; Артикул409112; Зона размещенияЖилая / Общественная; Пылевлагозащита, IPIP20; Тип светодиодовОдноцветный; Цветовая темп., К3000; Кол-во LED на метр120; Мощность ленты на один метр, Вт/м9,6; Масса, кг0,046; Длина (Глубина), мм1020; Высота, мм14; Ширина, мм13; Материал арматурыПластик; Напряжение питания ламп, В12";https://lightstar.ru/kupit-lustry-svetilniki-optom/lenta-svetodiodnaya-12-v/409112
"Главная; Светотехника; Лампы светодиодные; Светодиодные лампы LED 940802";Главная; Светотехника; Лампы светодиодные;None; Светодиодные лампы LED 940802;940802;LED;None; мм87;кг0,035;None;IPIP20;мм46;None;None;None;Вт7;E14;"КоллекцияLED; Пылевлагозащита, IPIP20; Высота, мм87; Диаметр, мм46; Масса, кг0,035; Мощность лампы (Max), Вт7; Цоколь лампE14; Количество в упаковке100; Артикул940802; КоллекцияLED; Зона размещенияЖилая / Общественная / Улица; Пылевлагозащита, IPIP20; Суммарная мощность ЛОН, Вт65; Цветовая темп., К3000; Световой поток, лм (для лент Лм/м)350; Угол рассеивания рефлектора, °180; Срок службы, ч20000; Масса, кг0,035; Диаметр, мм46; Высота, мм87; Цоколь лампE14; Мощность лампы (Max), Вт7; Напряжение питания ламп, В220; Тип лампыLED; Типоразмер лампыG45";https://lightstar.ru/kupit-lustry-svetilniki-optom/lampy-svetodiodnye/940802
"Главная; Светотехника; Люстры; Люстра потолочная Pittore 811054";Главная; Светотехника; Люстры;None; Люстра потолочная Pittore 811054;811054;Pittore;Классический; мм290;кг9,05;Металл;IPIP20;мм640; шт5;Серебро;Состаренное серебро;Вт40;E27;"КоллекцияPittore; СтильКлассический; Пылевлагозащита, IPIP20; Высота, мм290; Диаметр, мм640; Масса, кг9,05; Количество ламп, шт5; Цвет арматурыСеребро; Цвет плафона (Декора)Состаренное серебро; Мощность лампы (Max), Вт40; Цоколь лампE27; Артикул811054; КоллекцияPittore; СтильКлассический; Зона размещенияЖилая / Общественная; Тип люстрыПотолочная; Количество плафонов (декор элем встройки), шт (если 0 - нет)5; Пылевлагозащита, IPIP20; Суммарная мощность LED, Вт30; Суммарная мощность ЛОН, Вт200; Масса, кг9,05; Тип крепления плафона, На арматуру / На лампуНа арматуру; Крепление, На планку / На крюк / ПружинноеДиск; Монтаж, Врезной / НакладнойНакладной; Диаметр, мм640; Высота, мм290; Диаметр основания (отверстия встройки), мм120; Глубина (высота) основания (отверстия встройки), мм25; Цвет арматурыСеребро; Цвет плафона (Декора)Состаренное серебро; Материал арматурыМеталл; Материал плафона (Декора)Стекло; Количество ламп, шт5; Цоколь лампE27; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыГЛН / КЛЛ / LED; Типоразмер лампыC / CA / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-lustru-optom/811054
"Главная; Светотехника; Встраиваемые светильники; Комплект из светильника и рамки Intero 111 Intero 111 i9290909";Главная; Светотехника; Встраиваемые светильники;None; Комплект из светильника и рамки Intero 111 Intero 111 i9290909;i9290909;Intero 111;Хай-тек; мм2;кг0,337;Металл;IPIP20; Диаметр основания (отверстия встройки), мм142; шт2;Серый;None;Вт50;None;"КоллекцияIntero 111; СтильХай-тек; Пылевлагозащита, IPIP20; Высота, мм2; Масса, кг0,337; Количество ламп, шт2; Цвет арматурыСерый; Мощность лампы (Max), Вт50; Артикулi9290909; КоллекцияIntero 111; СтильХай-тек; Зона размещенияЖилая / Общественная; Пылевлагозащита, IPIP20; Суммарная мощность LED, Вт50; Суммарная мощность ЛОН, Вт100; Угол поворота по горизонтали, °20; Масса, кг0,337; Крепление, На планку / На крюк / ПружинноеПружинное; Монтаж, Врезной / НакладнойВрезной; Длина (Глубина), мм330; Высота, мм2; Диаметр основания (отверстия встройки), мм142; Ширина, мм180; Глубина (высота) основания (отверстия встройки), мм45; Цвет арматурыСерый; Материал арматурыМеталл; Количество ламп, шт2; Мощность лампы (Max), Вт50; Напряжение питания ламп, В220; Тип лампыГЛН / LED; Типоразмер лампыAR111";https://lightstar.ru/kupit-lustry-svetilniki-optom/vstraivaemye-tochechnye-svetilniki-pod-lampy/i9290909
"Главная; Светотехника; Люстры; Люстра подвесная Nubi ondoso 802131";Главная; Светотехника; Люстры;None; Люстра подвесная Nubi ondoso 802131;802131;Nubi ondoso;Арт-деко; мм200;кг4,1;Металл;IPIP20;None; шт3;Матовый хром;Белая волна;Вт40;E27;"КоллекцияNubi ondoso; СтильАрт-деко; Пылевлагозащита, IPIP20; Высота, мм200; Масса, кг4,1; Количество ламп, шт3; Цвет арматурыМатовый хром; Цвет плафона (Декора)Белая волна; Мощность лампы (Max), Вт40; Цоколь лампE27; Артикул802131; КоллекцияNubi ondoso; СтильАрт-деко; Зона размещенияЖилая / Общественная; Тип люстрыПодвесная; Количество плафонов (декор элем встройки), шт (если 0 - нет)3; Коэфф пропускания плафоном света, 0-10,7; Пылевлагозащита, IPIP20; Суммарная мощность LED, Вт18; Суммарная мощность ЛОН, Вт120; Масса, кг4,1; Тип крепления плафона, На арматуру / На лампуНа арматуру; Крепление, На планку / На крюк / ПружинноеНа планку; Монтаж, Врезной / НакладнойНакладной; Длина (Глубина), мм540; Высота, мм200; Высота min, мм400; Высота max, мм1200; Ширина, мм200; Длина основания (отверстия встройки), мм160; Глубина (высота) основания (отверстия встройки), мм20; Ширина основания (отверстия встройки), мм100; Цвет арматурыМатовый хром; Цвет плафона (Декора)Белая волна; Материал арматурыМеталл; Материал плафона (Декора)Стекло; Количество ламп, шт3; Цоколь лампE27; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыГЛН / КЛЛ / LED; Типоразмер лампыC / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-lustru-optom/802131
"Главная; Светотехника; Лампы светодиодные; Светодиодные лампы LED 930702";Главная; Светотехника; Лампы светодиодные;None; Светодиодные лампы LED 930702;930702;LED;None; мм80;кг0,046;None;IPIP20;мм35;None;None;None;Вт9;E14;"КоллекцияLED; Пылевлагозащита, IPIP20; Высота, мм80; Диаметр, мм35; Масса, кг0,046; Мощность лампы (Max), Вт9; Цоколь лампE14; Количество в упаковке100; Артикул930702; КоллекцияLED; Зона размещенияЖилая / Общественная / Улица; Пылевлагозащита, IPIP20; Суммарная мощность ЛОН, Вт90; Цветовая темп., К3000; Световой поток, лм (для лент Лм/м)850; Срок службы, ч20000; Масса, кг0,046; Диаметр, мм35; Высота, мм80; Цоколь лампE14; Мощность лампы (Max), Вт9; Напряжение питания ламп, В220; Тип лампыLED; Типоразмер лампыT";https://lightstar.ru/kupit-lustry-svetilniki-optom/lampy-svetodiodnye/930702
"Главная; Светотехника; Люстры; Люстра потолочная Nubi ondoso 802091";Главная; Светотехника; Люстры;None; Люстра потолочная Nubi ondoso 802091;802091;Nubi ondoso;Арт-деко; мм230;кг14,35;Металл;IPIP20;мм700; шт9;Матовый хром;Белая волна;Вт40;E27;"КоллекцияNubi ondoso; СтильАрт-деко; Пылевлагозащита, IPIP20; Высота, мм230; Диаметр, мм700; Масса, кг14,35; Количество ламп, шт9; Цвет арматурыМатовый хром; Цвет плафона (Декора)Белая волна; Мощность лампы (Max), Вт40; Цоколь лампE27; Артикул802091; КоллекцияNubi ondoso; СтильАрт-деко; Зона размещенияЖилая / Общественная; Тип люстрыПотолочная; Количество плафонов (декор элем встройки), шт (если 0 - нет)9; Коэфф пропускания плафоном света, 0-10,7; Пылевлагозащита, IPIP20; Суммарная мощность LED, Вт54; Суммарная мощность ЛОН, Вт360; Масса, кг14,35; Тип крепления плафона, На арматуру / На лампуНа арматуру; Крепление, На планку / На крюк / ПружинноеКрестовина; Монтаж, Врезной / НакладнойНакладной; Диаметр, мм700; Высота, мм230; Диаметр основания (отверстия встройки), мм500; Глубина (высота) основания (отверстия встройки), мм20; Цвет арматурыМатовый хром; Цвет плафона (Декора)Белая волна; Материал арматурыМеталл; Материал плафона (Декора)Стекло; Количество ламп, шт9; Цоколь лампE27; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыГЛН / КЛЛ / LED; Типоразмер лампыC / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-lustru-optom/802091
"Главная; Светотехника; Встраиваемые светильники; Комплект из светильника и рамки Intero 111 Intero 111 i9290606";Главная; Светотехника; Встраиваемые светильники;None; Комплект из светильника и рамки Intero 111 Intero 111 i9290606;i9290606;Intero 111;Хай-тек; мм2;кг0,337;Металл;IPIP20; Диаметр основания (отверстия встройки), мм142; шт2;Серый / Белый;None;Вт50;None;"КоллекцияIntero 111; СтильХай-тек; Пылевлагозащита, IPIP20; Высота, мм2; Масса, кг0,337; Количество ламп, шт2; Цвет арматурыСерый / Белый; Мощность лампы (Max), Вт50; Артикулi9290606; КоллекцияIntero 111; СтильХай-тек; Зона размещенияЖилая / Общественная; Пылевлагозащита, IPIP20; Суммарная мощность LED, Вт50; Суммарная мощность ЛОН, Вт100; Угол поворота по горизонтали, °20; Масса, кг0,337; Крепление, На планку / На крюк / ПружинноеПружинное; Монтаж, Врезной / НакладнойВрезной; Длина (Глубина), мм330; Высота, мм2; Диаметр основания (отверстия встройки), мм142; Ширина, мм180; Глубина (высота) основания (отверстия встройки), мм45; Цвет арматурыСерый / Белый; Материал арматурыМеталл; Количество ламп, шт2; Мощность лампы (Max), Вт50; Напряжение питания ламп, В220; Тип лампыГЛН / LED; Типоразмер лампыAR111";https://lightstar.ru/kupit-lustry-svetilniki-optom/vstraivaemye-tochechnye-svetilniki-pod-lampy/i9290606
"Главная; Светотехника; Люстры; Люстра потолочная Nubi ondoso 802011";Главная; Светотехника; Люстры;None; Люстра потолочная Nubi ondoso 802011;802011;Nubi ondoso;Арт-деко; мм200;кг1,5;Металл;IPIP20;мм190; шт1;Матовый хром;Белая волна;Вт40;E27;"КоллекцияNubi ondoso; СтильАрт-деко; Пылевлагозащита, IPIP20; Высота, мм200; Диаметр, мм190; Масса, кг1,5; Количество ламп, шт1; Цвет арматурыМатовый хром; Цвет плафона (Декора)Белая волна; Мощность лампы (Max), Вт40; Цоколь лампE27; Артикул802011; КоллекцияNubi ondoso; СтильАрт-деко; Зона размещенияЖилая / Общественная; Тип люстрыПотолочная; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Коэфф пропускания плафоном света, 0-10,7; Пылевлагозащита, IPIP20; Суммарная мощность LED, Вт6; Суммарная мощность ЛОН, Вт40; Масса, кг1,5; Тип крепления плафона, На арматуру / На лампуНа арматуру; Крепление, На планку / На крюк / ПружинноеНа планку; Монтаж, Врезной / НакладнойНакладной; Диаметр, мм190; Высота, мм200; Диаметр основания (отверстия встройки), мм120; Глубина (высота) основания (отверстия встройки), мм25; Цвет арматурыМатовый хром; Цвет плафона (Декора)Белая волна; Материал арматурыМеталл; Материал плафона (Декора)Стекло; Количество ламп, шт1; Цоколь лампE27; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыГЛН / КЛЛ / LED; Типоразмер лампыC / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-lustru-optom/802011
"Главная; Светотехника; Лампы светодиодные; Светодиодные лампы LED 940244";Главная; Светотехника; Лампы светодиодные;None; Светодиодные лампы LED 940244;940244;LED;None; мм70;кг0,045;None;IPIP20;мм50;None;None;None;Вт9;GU10;"КоллекцияLED; Пылевлагозащита, IPIP20; Высота, мм70; Диаметр, мм50; Масса, кг0,045; Мощность лампы (Max), Вт9; Цоколь лампGU10; Количество в упаковке100; Артикул940244; КоллекцияLED; Зона размещенияЖилая / Общественная / Улица; Пылевлагозащита, IPIP20; Суммарная мощность ЛОН, Вт80; Цветовая темп., К4000; Световой поток, лм (для лент Лм/м)530; Угол рассеивания рефлектора, °45; Срок службы, ч20000; Масса, кг0,045; Диаметр, мм50; Высота, мм70; Цоколь лампGU10; Мощность лампы (Max), Вт9; Напряжение питания ламп, В220; Тип лампыLED; Типоразмер лампыHP16";https://lightstar.ru/kupit-lustry-svetilniki-optom/lampy-svetodiodnye/940244
"Главная; Светотехника; Люстры; Люстра потолочная Pittore 811052";Главная; Светотехника; Люстры;None; Люстра потолочная Pittore 811052;811052;Pittore;Классический; мм290;кг9,05;Металл;IPIP20;мм640; шт5;Золото;Состаренное золото;Вт40;E27;"КоллекцияPittore; СтильКлассический; Пылевлагозащита, IPIP20; Высота, мм290; Диаметр, мм640; Масса, кг9,05; Количество ламп, шт5; Цвет арматурыЗолото; Цвет плафона (Декора)Состаренное золото; Мощность лампы (Max), Вт40; Цоколь лампE27; Артикул811052; КоллекцияPittore; СтильКлассический; Зона размещенияЖилая / Общественная; Тип люстрыПотолочная; Количество плафонов (декор элем встройки), шт (если 0 - нет)5; Пылевлагозащита, IPIP20; Суммарная мощность LED, Вт30; Суммарная мощность ЛОН, Вт200; Масса, кг9,05; Тип крепления плафона, На арматуру / На лампуНа арматуру; Крепление, На планку / На крюк / ПружинноеДиск; Монтаж, Врезной / НакладнойНакладной; Диаметр, мм640; Высота, мм290; Диаметр основания (отверстия встройки), мм120; Глубина (высота) основания (отверстия встройки), мм25; Цвет арматурыЗолото; Цвет плафона (Декора)Состаренное золото; Материал арматурыМеталл; Материал плафона (Декора)Стекло; Количество ламп, шт5; Цоколь лампE27; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыГЛН / КЛЛ / LED; Типоразмер лампыC / CA / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-lustru-optom/811052
"Главная; Светотехника; Встраиваемые светильники; Комплект из светильника и рамки Intero 111 Intero 111 i936070707";Главная; Светотехника; Встраиваемые светильники;None; Комплект из светильника и рамки Intero 111 Intero 111 i936070707;i936070707;Intero 111;Хай-тек; мм2;кг0,421;Металл;IPIP20; Диаметр основания (отверстия встройки), мм142; шт3;Белый / Черный;None;Вт50;None;"КоллекцияIntero 111; СтильХай-тек; Пылевлагозащита, IPIP20; Высота, мм2; Масса, кг0,421; Количество ламп, шт3; Цвет арматурыБелый / Черный; Мощность лампы (Max), Вт50; Артикулi936070707; КоллекцияIntero 111; СтильХай-тек; Зона размещенияЖилая / Общественная; Пылевлагозащита, IPIP20; Суммарная мощность LED, Вт75; Суммарная мощность ЛОН, Вт150; Угол поворота по горизонтали, °20; Масса, кг0,421; Крепление, На планку / На крюк / ПружинноеПружинное; Монтаж, Врезной / НакладнойВрезной; Длина (Глубина), мм485; Высота, мм2; Диаметр основания (отверстия встройки), мм142; Ширина, мм180; Глубина (высота) основания (отверстия встройки), мм45; Цвет арматурыБелый / Черный; Материал арматурыМеталл; Количество ламп, шт3; Мощность лампы (Max), Вт50; Напряжение питания ламп, В220; Тип лампыГЛН / LED; Типоразмер лампыAR111";https://lightstar.ru/kupit-lustry-svetilniki-optom/vstraivaemye-tochechnye-svetilniki-pod-lampy/i936070707
"Главная; Светотехника; Лента светодиодная на 12В, профиль, трансформаторы и аксессуары; Трансформатор для светодиодной ленты  410200";Главная; Светотехника; Лента светодиодная на 12В, профиль, трансформаторы и аксессуары;None; Трансформатор для светодиодной ленты  410200;410200;None;None;мм51;кг0,524;None;None;None;None;None;None;Вт200;None;"Высота, мм51; Масса, кг0,524; Мощность лампы (Max), Вт200; Количество в упаковке28; Артикул410200; Зона размещенияЖилая / Общественная; Max длина низковольтной линии (светодиодной ленты), м5; Выходное напряжение, В12; Масса, кг0,524; Длина (Глубина), мм210; Высота, мм51; Ширина, мм110; Мощность лампы (Max), Вт200";https://lightstar.ru/kupit-lustry-svetilniki-optom/lenta-svetodiodnaya-12-v/410200
"Главная; Светотехника; Люстры; Люстра подвесная Onda 741104";Главная; Светотехника; Люстры;None; Люстра подвесная Onda 741104;741104;Onda;Арт-деко; мм140;кг9,25;Металл;IPIP20;мм600; шт10;Хром;Прозрачный;Вт40;G9;"КоллекцияOnda; СтильАрт-деко; Пылевлагозащита, IPIP20; Высота, мм140; Диаметр, мм600; Масса, кг9,25; Количество ламп, шт10; Цвет арматурыХром; Цвет плафона (Декора)Прозрачный; Мощность лампы (Max), Вт40; Цоколь лампG9; Артикул741104; КоллекцияOnda; СтильАрт-деко; Зона размещенияЖилая / Общественная; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Коэфф пропускания плафоном света, 0-10,8; Пылевлагозащита, IPIP20; Суммарная мощность LED, Вт60; Суммарная мощность ЛОН, Вт400; Масса, кг9,25; Тип крепления плафона, На арматуру / На лампуНа арматуру; Крепление, На планку / На крюк / ПружинноеНа планку; Монтаж, Врезной / НакладнойНакладной; Диаметр, мм600; Высота, мм140; Высота min, мм200; Высота max, мм1200; Диаметр основания (отверстия встройки), мм150; Глубина (высота) основания (отверстия встройки), мм30; Цвет арматурыХром; Цвет плафона (Декора)Прозрачный; Материал арматурыМеталл; Материал плафона (Декора)Хрусталь; Количество ламп, шт10; Цоколь лампG9; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыГЛН / LED; Типоразмер лампыJC";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-lustru-optom/741104
"Главная; Светотехника; Лента светодиодная на 12В, профиль, трансформаторы и аксессуары; Профиль с прямоугольным рассеивателем  409529";Главная; Светотехника; Лента светодиодная на 12В, профиль, трансформаторы и аксессуары;None; Профиль с прямоугольным рассеивателем  409529;409529;None;None;мм7;кг0,284;Алюминий;None;None;None;None;None;None;None;"Высота, мм7; Масса, кг0,284; Количество в упаковке50; Артикул409529; Зона размещенияЖилая / Общественная; Масса, кг0,284; Длина (Глубина), мм2000; Высота, мм7; Ширина, мм25; Материал арматурыАлюминий";https://lightstar.ru/kupit-lustry-svetilniki-optom/lenta-svetodiodnaya-12-v/409529
"Главная; Светотехника; Лампы светодиодные; Светодиодные лампы LED 940402";Главная; Светотехника; Лампы светодиодные;None; Светодиодные лампы LED 940402;940402;LED;None; мм45;кг0,003;None;IPIP20;мм10;None;None;None;Вт3;G4;"КоллекцияLED; Пылевлагозащита, IPIP20; Высота, мм45; Диаметр, мм10; Масса, кг0,003; Мощность лампы (Max), Вт3; Цоколь лампG4; Артикул940402; КоллекцияLED; Зона размещенияЖилая / Общественная / Улица; Пылевлагозащита, IPIP20; Суммарная мощность ЛОН, Вт30; Цветовая темп., К3000; Световой поток, лм (для лент Лм/м)150; Угол рассеивания рефлектора, °360; Срок службы, ч20000; Масса, кг0,003; Диаметр, мм10; Высота, мм45; Цоколь лампG4; Мощность лампы (Max), Вт3; Напряжение питания ламп, В12; Тип лампыLED; Типоразмер лампыJC";https://lightstar.ru/kupit-lustry-svetilniki-optom/lampy-svetodiodnye/940402
"Главная; Светотехника; Встраиваемые светильники; Комплект из светильника и рамки Intero 111 Intero 111 i936060706";Главная; Светотехника; Встраиваемые светильники;None; Комплект из светильника и рамки Intero 111 Intero 111 i936060706;i936060706;Intero 111;Хай-тек; мм2;кг0,421;Металл;IPIP20; Диаметр основания (отверстия встройки), мм142; шт3;Белый / Черный;None;Вт50;None;"КоллекцияIntero 111; СтильХай-тек; Пылевлагозащита, IPIP20; Высота, мм2; Масса, кг0,421; Количество ламп, шт3; Цвет арматурыБелый / Черный; Мощность лампы (Max), Вт50; Артикулi936060706; КоллекцияIntero 111; СтильХай-тек; Зона размещенияЖилая / Общественная; Пылевлагозащита, IPIP20; Суммарная мощность LED, Вт75; Суммарная мощность ЛОН, Вт150; Угол поворота по горизонтали, °20; Масса, кг0,421; Крепление, На планку / На крюк / ПружинноеПружинное; Монтаж, Врезной / НакладнойВрезной; Длина (Глубина), мм485; Высота, мм2; Диаметр основания (отверстия встройки), мм142; Ширина, мм180; Глубина (высота) основания (отверстия встройки), мм45; Цвет арматурыБелый / Черный; Материал арматурыМеталл; Количество ламп, шт3; Мощность лампы (Max), Вт50; Напряжение питания ламп, В220; Тип лампыГЛН / LED; Типоразмер лампыAR111";https://lightstar.ru/kupit-lustry-svetilniki-optom/vstraivaemye-tochechnye-svetilniki-pod-lampy/i936060706
"Главная; Светотехника; Люстры; Люстра подвесная Onda 741064";Главная; Светотехника; Люстры;None; Люстра подвесная Onda 741064;741064;Onda;Арт-деко; мм140;кг5,75;Металл;IPIP20;мм430; шт6;Хром;Прозрачный;Вт40;G9;"КоллекцияOnda; СтильАрт-деко; Пылевлагозащита, IPIP20; Высота, мм140; Диаметр, мм430; Масса, кг5,75; Количество ламп, шт6; Цвет арматурыХром; Цвет плафона (Декора)Прозрачный; Мощность лампы (Max), Вт40; Цоколь лампG9; Артикул741064; КоллекцияOnda; СтильАрт-деко; Зона размещенияЖилая / Общественная; Тип люстрыПодвесная; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Коэфф пропускания плафоном света, 0-10,8; Пылевлагозащита, IPIP20; Суммарная мощность LED, Вт36; Суммарная мощность ЛОН, Вт240; Масса, кг5,75; Тип крепления плафона, На арматуру / На лампуНа арматуру; Крепление, На планку / На крюк / ПружинноеНа планку; Монтаж, Врезной / НакладнойНакладной; Диаметр, мм430; Высота, мм140; Высота min, мм200; Высота max, мм1200; Диаметр основания (отверстия встройки), мм130; Глубина (высота) основания (отверстия встройки), мм30; Цвет арматурыХром; Цвет плафона (Декора)Прозрачный; Материал арматурыМеталл; Материал плафона (Декора)Хрусталь; Количество ламп, шт6; Цоколь лампG9; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыГЛН / LED; Типоразмер лампыJC";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-lustru-optom/741064
"Главная; Светотехника; Люстры; Люстра подвесная Pittore 811134";Главная; Светотехника; Люстры;None; Люстра подвесная Pittore 811134;811134;Pittore;Классический; мм320;кг4,65;Металл;IPIP20;мм460; шт3;Серебро;Состаренное серебро;Вт40;E27;"КоллекцияPittore; СтильКлассический; Пылевлагозащита, IPIP20; Высота, мм320; Диаметр, мм460; Масса, кг4,65; Количество ламп, шт3; Цвет арматурыСеребро; Цвет плафона (Декора)Состаренное серебро; Мощность лампы (Max), Вт40; Цоколь лампE27; Артикул811134; КоллекцияPittore; СтильКлассический; Зона размещенияЖилая / Общественная; Тип люстрыПодвесная; Количество плафонов (декор элем встройки), шт (если 0 - нет)3; Пылевлагозащита, IPIP20; Суммарная мощность LED, Вт18; Суммарная мощность ЛОН, Вт120; Масса, кг4,65; Тип крепления плафона, На арматуру / На лампуНа арматуру; Крепление, На планку / На крюк / ПружинноеНа планку; Монтаж, Врезной / НакладнойНакладной; Диаметр, мм460; Высота, мм320; Высота min, мм400; Высота max, мм1300; Диаметр основания (отверстия встройки), мм135; Глубина (высота) основания (отверстия встройки), мм50; Цвет арматурыСеребро; Цвет плафона (Декора)Состаренное серебро; Материал арматурыМеталл; Материал плафона (Декора)Стекло; Количество ламп, шт3; Цоколь лампE27; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыГЛН / КЛЛ / LED; Типоразмер лампыC / CA / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-lustru-optom/811134
"Главная; Светотехника; Лампы светодиодные; Светодиодные лампы LED 940214";Главная; Светотехника; Лампы светодиодные;None; Светодиодные лампы LED 940214;940214;LED;None; мм48;кг0,03;None;IPIP20;мм51;None;None;None;Вт6,5;G5.3;"КоллекцияLED; Пылевлагозащита, IPIP20; Высота, мм48; Диаметр, мм51; Масса, кг0,03; Мощность лампы (Max), Вт6,5; Цоколь лампG5.3; Количество в упаковке100; Артикул940214; КоллекцияLED; Зона размещенияЖилая / Общественная / Улица; Пылевлагозащита, IPIP20; Суммарная мощность ЛОН, Вт60; Цветовая темп., К4000; Световой поток, лм (для лент Лм/м)325; Угол рассеивания рефлектора, °120; Срок службы, ч20000; Масса, кг0,03; Диаметр, мм51; Высота, мм48; Цоколь лампG5.3; Мощность лампы (Max), Вт6,5; Напряжение питания ламп, В220; Тип лампыLED; Типоразмер лампыMR16";https://lightstar.ru/kupit-lustry-svetilniki-optom/lampy-svetodiodnye/940214
"Главная; Светотехника; Встраиваемые светильники; Комплект из светильника и рамки Intero 111 Intero 111 i937090609";Главная; Светотехника; Встраиваемые светильники;None; Комплект из светильника и рамки Intero 111 Intero 111 i937090609;i937090609;Intero 111;Хай-тек; мм2;кг0,421;Металл;IPIP20; Диаметр основания (отверстия встройки), мм142; шт3;Черный / Серый / Белый;None;Вт50;None;"КоллекцияIntero 111; СтильХай-тек; Пылевлагозащита, IPIP20; Высота, мм2; Масса, кг0,421; Количество ламп, шт3; Цвет арматурыЧерный / Серый / Белый; Мощность лампы (Max), Вт50; Артикулi937090609; КоллекцияIntero 111; СтильХай-тек; Зона размещенияЖилая / Общественная; Пылевлагозащита, IPIP20; Суммарная мощность LED, Вт75; Суммарная мощность ЛОН, Вт150; Угол поворота по горизонтали, °20; Масса, кг0,421; Крепление, На планку / На крюк / ПружинноеПружинное; Монтаж, Врезной / НакладнойВрезной; Длина (Глубина), мм485; Высота, мм2; Диаметр основания (отверстия встройки), мм142; Ширина, мм180; Глубина (высота) основания (отверстия встройки), мм45; Цвет арматурыЧерный / Серый / Белый; Материал арматурыМеталл; Количество ламп, шт3; Мощность лампы (Max), Вт50; Напряжение питания ламп, В220; Тип лампыГЛН / LED; Типоразмер лампыAR111";https://lightstar.ru/kupit-lustry-svetilniki-optom/vstraivaemye-tochechnye-svetilniki-pod-lampy/i937090609
